#{"t_start": 1746424327.518247, "env_id": null}
r,l,t
-1753.301094,1428,4534.095712
-1952.832702,1428,4546.290715
-834.649105,1428,4558.39861
-1432.117003,1428,4570.466545
-1768.461851,1428,4582.63815
-1369.33884,1428,4594.765189
-1427.630258,1428,4606.88742
-1467.793451,1428,4618.977969
-1544.268239,1428,4631.003945
-977.416642,1428,4643.016619
-1494.322005,1428,4655.083317
-1250.112104,1428,4667.162538
-1925.698616,1428,4679.215387
-1300.963977,1428,4691.660511
-1314.474784,1428,4704.170286
-1738.181244,1428,4716.680776
-946.040589,1428,4729.084964
-1346.729116,1428,4741.370146
-1650.667396,1428,4753.961713
-1403.516168,1428,4766.275293
-1611.919599,1428,4778.693405
-1644.701389,1428,4790.995397
-1149.687726,1428,4803.253376
-1031.870814,1428,4815.703401
-1601.966528,1428,4828.022213
-1643.322453,1428,4840.325484
-1685.289924,1428,4852.632829
-2035.590226,1428,4865.041029
-1394.259295,1428,4877.503988
-1417.04409,1428,4889.8996
-1680.083828,1428,4902.405527
-1391.435952,1428,4914.88371
-1545.594999,1428,4927.193641
-2090.50226,1428,4939.527207
-1101.704405,1428,4951.720226
-1666.038923,1428,4964.098561
-1357.431038,1428,4976.561057
-1041.87437,1428,4988.87385
-1957.57178,1428,5001.1145
-1351.005239,1428,5013.501723
-1313.814516,1428,5025.841297
-1511.371457,1428,5037.908737
-1662.389655,1428,5049.88648
-1875.824891,1428,5061.862683
-990.861902,1428,5073.842681
-1352.833835,1428,5085.925823
-1310.609373,1428,5098.044051
-1232.906176,1428,5110.108449
-1326.108967,1428,5122.098393
-1546.161941,1428,5134.145326
-1432.134051,1428,5146.196974
-907.18103,1428,5158.19063
-1068.659805,1428,5170.070374
-1263.530232,1428,5181.898395
-1449.367312,1428,5193.868532
-1514.83223,1428,5205.864838
-1385.731403,1428,5217.804896
-1847.277055,1428,5229.737187
-1206.118676,1428,5241.729584
-1259.192619,1428,5253.677665
-1189.086925,1428,5265.608546
-1592.754493,1428,5277.621402
-1097.122639,1428,5289.636163
-1394.387061,1428,5301.635835
-1643.286709,1428,5313.572773
-1440.891087,1428,5325.586005
-1466.713558,1428,5337.548417
-1721.148805,1428,5349.544732
-1007.572588,1428,5361.486232
-1555.557012,1428,5373.402098
-1543.99829,1428,5385.267994
-1081.055112,1428,5397.278018
-1662.795001,1428,5409.280869
-1510.052861,1428,5421.210705
-1317.065228,1428,5433.183508
-1813.229857,1428,5445.199671
-1445.36715,1428,5457.136614
-1520.81279,1428,5469.322255
-1411.986274,1428,5481.462275
-1197.620333,1428,5493.529033
-1733.123393,1428,5505.505581
-1138.080044,1428,5517.447369
-1039.409933,1428,5529.486222
-2052.813997,1428,5541.47265
-1813.549316,1428,5553.550738
-1208.048384,1428,5566.014039
-1492.492267,1428,5578.528924
-1503.166014,1428,5590.971653
-1487.155961,1428,5603.28331
-1412.326674,1428,5615.702575
-1261.532928,1428,5628.011036
-1536.224457,1428,5640.161244
-1291.150035,1428,5652.399404
-1847.013846,1428,5664.8411
-1186.778262,1428,5677.124537
-1481.88624,1428,5689.37662
-1078.057739,1428,5701.627662
-1408.940699,1428,5713.984602
-1622.541393,1428,5726.35059
-2052.358007,1428,5738.688734
-1691.589208,1428,5750.917882
-1869.733876,1428,5763.313591
-806.230634,1428,5775.718687
-826.120246,1428,5788.031848
-1077.076243,1428,5800.205137
-1669.056449,1428,5812.528328
-1821.653745,1428,5824.829234
-1674.56263,1428,5837.274515
-1043.317972,1428,5849.515373
-1365.33156,1428,5861.954892
-1495.127426,1428,5874.274727
-1432.449552,1428,5886.509513
-1232.024272,1428,5898.754164
-1561.931749,1428,5911.194339
-993.284482,1428,5923.539215
-1644.396324,1428,5936.017958
-1396.038566,1428,5948.367572
-1462.428797,1428,5960.63755
-1446.11789,1428,5973.135004
-961.817963,1428,5985.656295
-1375.556793,1428,5998.054498
-1789.864687,1428,6010.388643
-1690.846692,1428,6022.708105
-1000.163529,1428,6035.01319
-1415.512198,1428,6047.532327
-1016.68186,1428,6059.844428
-1355.550461,1428,6072.23305
-1579.068774,1428,6084.607314
-1293.519951,1428,6096.959253
-1250.245307,1428,6109.289671
-860.043708,1428,6121.646714
-1710.151202,1428,6133.942566
-1189.575185,1428,6146.208901
-1492.922968,1428,6158.557839
-1591.777585,1428,6170.784244
-1363.88166,1428,6182.945758
-1619.813655,1428,6195.126077
-1779.529146,1428,6207.429177
-1213.738142,1428,6219.582669
-1538.366849,1428,6231.815143
-1274.223869,1428,6244.030604
-1804.86686,1428,6256.242493
-1337.520788,1428,6268.451225
-936.672388,1428,6280.619966
-1346.941116,1428,6292.782555
-1395.334865,1428,6304.970006
-1576.364312,1428,6317.475892
-1515.260393,1428,6329.771335
-1717.351839,1428,6342.007462
-1254.935568,1428,6354.310094
-1733.977672,1428,6366.675897
-1331.474044,1428,6378.841205
-1171.488722,1428,6390.811502
-1430.589707,1428,6402.768285
-1363.796482,1428,6414.850763
-1109.319524,1428,6426.859418
-1084.481533,1428,6438.710926
-1078.748753,1428,6450.582901
-1117.859334,1428,6462.474627
-2065.675417,1428,6474.506694
-1964.81101,1428,6486.596327
-1336.948336,1428,6498.672447
-1271.169303,1428,6510.756923
-1442.185945,1428,6522.752685
-1726.089771,1428,6534.847536
-1541.730254,1428,6546.926445
-1774.806502,1428,6558.867502
-980.320947,1428,6570.892176
-2202.288055,1428,6582.920659
-1105.528457,1428,6595.074812
-1504.436121,1428,6606.949231
-1536.206137,1428,6618.87693
-1680.963894,1428,6630.894741
-1469.704501,1428,6642.896954
-1566.201171,1428,6654.916264
-1608.157487,1428,6666.795442
-1883.590343,1428,6678.745045
-875.003632,1428,6690.714115
-1214.809485,1428,6702.588405
-1414.830396,1428,6714.39135
-1848.178255,1428,6726.336688
-1358.136917,1428,6738.363415
-1446.935506,1428,6750.49683
-1248.624679,1428,6762.437738
-1534.84772,1428,6774.368299
-1900.195466,1428,6786.315539
-1481.13315,1428,6798.25024
-1500.997456,1428,6810.181594
-1674.611691,1428,6822.287143
-1642.721309,1428,6834.251719
-1165.077216,1428,6846.460621
-1323.935363,1428,6858.330608
-1754.38045,1428,6870.311105
-1271.553603,1428,6882.391687
-1392.299828,1428,6894.570384
-1259.409889,1428,6906.628381
-1447.646824,1428,6918.716772
-1412.096036,1428,6930.839872
-1116.81819,1428,6943.171337
-1730.225674,1428,6955.520171
-2045.315331,1428,6967.908268
-1786.464262,1428,6980.205971
-1960.48113,1428,6992.57321
-1425.456222,1428,7004.932852
-1651.085826,1428,7017.334248
-1327.603778,1428,7029.642923
-1581.956318,1428,7041.934036
-1528.239577,1428,7054.306453
-975.816654,1428,7066.497382
-1087.225785,1428,7078.745133
-836.27334,1428,7090.986028
-1467.279794,1428,7103.270847
-1563.052056,1428,7115.522664
-1138.169217,1428,7127.858758
-1316.852194,1428,7140.163853
-1038.351261,1428,7152.645007
-1081.844758,1428,7164.995601
-1661.864385,1428,7177.271081
-1578.935524,1428,7189.593241
-1283.086531,1428,7201.884706
-1396.108046,1428,7214.337818
-1411.185821,1428,7226.834413
-1480.069234,1428,7239.315336
-1322.510247,1428,7251.798345
-1294.195632,1428,7264.374984
-1719.764554,1428,7276.995094
-1460.170233,1428,7289.050366
-1769.495979,1428,7301.164928
-1981.219008,1428,7313.324717
-1222.585639,1428,7325.44593
-1660.904069,1428,7337.497344
-1475.845364,1428,7349.612474
-1225.245327,1428,7361.820772
-1687.243253,1428,7373.971257
-1290.887203,1428,7385.995615
-1488.067021,1428,7398.135323
-1197.037351,1428,7410.197824
-1276.111073,1428,7422.321033
-1464.979924,1428,7434.319704
-1849.598913,1428,7446.461834
-1466.315469,1428,7458.578418
-1162.083142,1428,7470.690373
-735.13752,1428,7482.764712
-1707.976391,1428,7494.866881
-1812.362427,1428,7507.03587
-1433.409352,1428,7519.104014
-1953.754905,1428,7531.406834
-1107.238398,1428,7543.600515
-1493.720987,1428,7555.656459
-1562.844735,1428,7567.814008
-1356.509483,1428,7579.883585
-1039.466521,1428,7592.027453
-1647.905678,1428,7604.106011
-1566.08758,1428,7616.125937
-1375.603792,1428,7628.225607
-778.618307,1428,7640.401676
-1492.868633,1428,7652.530848
-1482.395669,1428,7664.663939
-1661.257766,1428,7676.676735
-1764.913189,1428,7688.769559
-1750.409976,1428,7700.939847
-1931.030414,1428,7713.062221
-1356.49879,1428,7725.228684
-1012.394708,1428,7737.293265
-1416.374351,1428,7749.300527
-1573.623585,1428,7761.398799
-1356.084001,1428,7773.539655
-1196.318785,1428,7785.590732
-1789.698441,1428,7797.851563
-2316.17654,1428,7809.991642
-1007.464555,1428,7822.123776
-1997.533914,1428,7834.178532
-1071.332061,1428,7846.383845
-1686.840122,1428,7858.517191
-944.778963,1428,7870.644715
-853.671705,1428,7882.772882
-1371.216689,1428,7894.907532
-1064.2615,1428,7907.097793
-1861.399331,1428,7919.204575
-1758.997598,1428,7931.355114
-1175.911914,1428,7943.400582
-1082.039443,1428,7955.547647
-982.698257,1428,7967.707589
-1119.276933,1428,7979.874591
-1179.306803,1428,7991.963465
-1502.823472,1428,8004.130677
-1239.699109,1428,8016.228002
-1603.805291,1428,8028.4232
-1773.849202,1428,8040.592791
-1330.398257,1428,8052.637164
-1612.779895,1428,8064.687611
-1072.341858,1428,8076.807322
-1044.513904,1428,8088.724943
-803.202041,1428,8100.808501
-860.22384,1428,8112.783793
-1386.201455,1428,8124.925682
-1219.300136,1428,8136.956714
-1172.377021,1428,8148.967039
-1795.66245,1428,8160.914794
-1481.687616,1428,8173.050447
-1045.751197,1428,8185.032748
-1308.123862,1428,8197.113575
-1081.749762,1428,8209.245862
-1442.023617,1428,8221.28781
-1165.923398,1428,8233.342097
-1337.673342,1428,8245.402855
-1172.396252,1428,8257.472873
-1766.856958,1428,8269.602425
-821.951126,1428,8281.651645
-1631.253047,1428,8293.661327
-1861.897363,1428,8305.629693
-1573.430659,1428,8317.645316
-1782.858613,1428,8329.781147
-1500.004307,1428,8341.846011
-1695.799855,1428,8353.859499
-1366.798237,1428,8365.809574
-1569.94928,1428,8377.763225
-1488.828121,1428,8389.706006
-1311.274028,1428,8401.69396
-930.67774,1428,8413.56315
-1579.351698,1428,8425.486597
-1838.515667,1428,8437.425916
-1865.35123,1428,8449.396591
-960.520586,1428,8461.292199
-1400.421732,1428,8473.284645
-814.753206,1428,8485.188092
-1441.716559,1428,8497.190064
-1398.681028,1428,8509.221795
-1700.612259,1428,8521.101177
-1533.764474,1428,8533.078625
-1353.694686,1428,8544.942331
-1830.337483,1428,8556.966676
-1372.864602,1428,8569.008167
-1385.57934,1428,8580.899473
-892.644669,1428,8592.807658
-1463.685673,1428,8604.642292
-1720.297337,1428,8616.600511
-1571.326438,1428,8628.538815
-1589.234213,1428,8640.483779
-1460.852223,1428,8652.458484
-1364.705315,1428,8664.333031
-1274.557524,1428,8676.281108
-1203.984976,1428,8688.387034
-1805.983446,1428,8700.402091
-1812.221914,1428,8712.295025
-1526.178718,1428,8724.191477
-2044.460675,1428,8736.145306
-1823.006462,1428,8748.059815
-878.005019,1428,8760.03548
-1898.858267,1428,8772.070353
-1969.811041,1428,8783.989742
-1002.038943,1428,8796.313154
-1800.803721,1428,8808.855322
-1613.020913,1428,8821.409975
-1022.116802,1428,8834.051652
-1468.433427,1428,8846.552435
-1075.980135,1428,8859.045537
-1833.276494,1428,8871.553993
-1798.798201,1428,8883.948281
-1315.802799,1428,8896.428015
-1664.276897,1428,8908.888766
-1236.601717,1428,8921.559501
-1710.898385,1428,8934.08941
-1283.731864,1428,8946.618758
-1641.961128,1428,8959.099252
-790.892311,1428,8971.659748
-930.26939,1428,8984.152489
-1160.207557,1428,8996.730841
-1129.150223,1428,9009.247333
-1107.398112,1428,9021.859645
-1340.880521,1428,9034.406105
-1780.29511,1428,9046.847418
-1152.215639,1428,9059.235956
-1301.474326,1428,9071.765411
-1553.201053,1428,9084.497336
-1524.760736,1428,9096.951769
-1774.987498,1428,9109.439646
-1244.85747,1428,9121.935464
-1027.025093,1428,9134.431489
-1042.491192,1428,9146.905416
-1681.214321,1428,9159.41556
-1302.339137,1428,9171.935696
-969.377407,1428,9184.471058
-886.152297,1428,9196.856159
-1528.010977,1428,9209.410571
-1261.689702,1428,9221.78155
-1534.509181,1428,9234.207803
-975.177792,1428,9246.71376
-1644.770168,1428,9259.183638
-1260.05742,1428,9271.634557
-1512.590203,1428,9283.994717
-981.356524,1428,9296.470424
-1457.425412,1428,9309.016198
-1377.869991,1428,9321.209234
-1332.310554,1428,9333.41698
-1291.041072,1428,9345.662439
-1174.487517,1428,9357.94947
-1115.032219,1428,9370.253585
-1879.135007,1428,9382.451882
-1365.159007,1428,9394.722707
-944.80559,1428,9407.017508
-1556.690228,1428,9419.252279
-1624.023261,1428,9431.418495
-1324.752162,1428,9443.635236
-1617.114119,1428,9455.912102
-1021.810434,1428,9468.213497
-1198.184922,1428,9480.370303
-1475.437124,1428,9492.49931
-1615.508281,1428,9504.675737
-1258.836499,1428,9516.929814
-1249.350456,1428,9529.177922
-1603.945904,1428,9541.313006
-1325.604625,1428,9553.528969
-2074.67396,1428,9565.701746
-876.939066,1428,9577.870093
-1264.36064,1428,9590.102397
-1166.983496,1428,9602.356495
-1268.023536,1428,9614.623497
-1076.851777,1428,9626.783679
-1602.167761,1428,9638.905093
-1573.951865,1428,9651.146446
-949.871933,1428,9663.230543
-1371.346209,1428,9675.401707
-1397.172448,1428,9687.636075
-1403.509219,1428,9699.733439
-1910.788084,1428,9711.907935
-1684.711657,1428,9724.094
-1024.944896,1428,9736.288896
-1523.609137,1428,9748.457716
-1131.738495,1428,9760.585321
-1210.97593,1428,9772.785389
-1584.018843,1428,9785.052628
-1442.399708,1428,9797.292288
-998.104141,1428,9809.458637
-1265.895279,1428,9821.629816
-2117.347084,1428,9833.723441
-881.290998,1428,9845.87838
-1069.214777,1428,9858.066567
-1223.983913,1428,9870.248193
-1261.5438,1428,9882.410422
-1639.693133,1428,9894.635305
-830.060437,1428,9906.742443
-1298.794615,1428,9918.866048
-1148.431299,1428,9931.067809
-1418.853849,1428,9943.372288
-864.370711,1428,9955.441893
-1941.488566,1428,9967.670492
-1969.867356,1428,9979.714382
-1716.374362,1428,9991.81533
-1184.089908,1428,10004.002071
-1058.416618,1428,10016.141926
-1152.614952,1428,10028.247933
-1134.149854,1428,10040.516351
-1387.088353,1428,10052.752559
-1376.569253,1428,10064.95747
-1097.568063,1428,10077.119071
-992.856825,1428,10089.046694
-1276.655888,1428,10101.142924
-1958.797345,1428,10113.215512
-1566.22587,1428,10125.161077
-1219.743326,1428,10137.348656
-1827.525119,1428,10149.354954
-1451.4665,1428,10161.34939
-1190.544426,1428,10173.270024
-1883.52998,1428,10185.293422
-1300.946614,1428,10197.3497
-931.359052,1428,10209.275617
-1623.286761,1428,10221.351433
-1466.124258,1428,10233.347259
-1311.366934,1428,10245.340766
-1552.246405,1428,10257.336932
-1329.528872,1428,10269.630164
-1336.28883,1428,10281.825087
-1463.219792,1428,10293.948744
-1656.973429,1428,10306.091708
-1624.535086,1428,10318.332021
-1575.884808,1428,10330.47113
-1128.001925,1428,10342.522372
-2042.42446,1428,10354.607473
-1367.212307,1428,10366.844959
-1200.53659,1428,10378.942846
-1259.83323,1428,10390.87127
-1477.50219,1428,10403.0015
-1346.825514,1428,10415.082108
-1520.532689,1428,10427.155138
-798.532758,1428,10439.216344
-1430.566889,1428,10451.249445
-1480.719691,1428,10463.355622
-1598.87528,1428,10475.533131
-1409.21316,1428,10487.749317
-1306.216611,1428,10499.977295
-1519.130166,1428,10512.144998
-1189.393418,1428,10524.269432
-1573.611083,1428,10536.700797
-1311.62596,1428,10548.548957
