#{"t_start": 1746161698.9439378, "env_id": null}
r,l,t
-923.302119,1428,7924.581001
-658.21395,1428,7936.371951
-689.366363,1428,7948.407608
-412.727387,1428,7960.280789
-172.059797,1428,7972.001413
-528.57151,1428,7983.997729
-313.019094,1428,7995.85888
43.234856,1428,8007.751768
-753.211196,1428,8019.676091
-579.512784,1428,8031.691822
-780.463386,1428,8043.555633
-661.17794,1428,8055.465884
-912.273383,1428,8067.252832
-1060.38392,1428,8079.072477
-1028.457351,1428,8091.077611
-1025.41473,1428,8103.146185
-567.083011,1428,8115.008869
-1051.589882,1428,8126.923614
-578.642503,1428,8138.740034
-719.330918,1428,8150.586927
-229.357641,1428,8162.386411
-1229.120935,1428,8174.221362
-130.514453,1428,8185.987847
-270.369225,1428,8197.862605
-746.154107,1428,8209.679702
-938.867473,1428,8221.489273
-583.502615,1428,8233.278074
-475.201672,1428,8245.045517
-549.888347,1428,8256.86495
-908.225838,1428,8268.660667
-231.254496,1428,8280.483726
-555.777905,1428,8292.605366
-1615.315233,1428,8304.522849
-287.51901,1428,8316.293205
-496.773789,1428,8328.110402
-809.418093,1428,8339.971412
-446.812007,1428,8351.881516
-204.99021,1428,8363.747467
-222.805484,1428,8375.584477
-733.446235,1428,8387.522208
-365.239993,1428,8399.400176
-308.216181,1428,8411.577277
-957.945822,1428,8423.445454
-597.867645,1428,8435.178571
-1450.340079,1428,8447.037801
-653.244754,1428,8459.082015
-439.725166,1428,8470.923211
-732.526636,1428,8482.803028
-443.576926,1428,8494.764613
-1043.866394,1428,8506.680042
-404.595196,1428,8518.633991
-571.096724,1428,8530.538802
-555.943511,1428,8542.377756
-138.670589,1428,8554.458747
-400.525291,1428,8566.514972
-243.899215,1428,8578.36521
-458.401028,1428,8590.378978
-182.251159,1428,8602.166204
-838.893775,1428,8614.093822
-935.726588,1428,8626.006818
-543.75893,1428,8637.843193
-288.099363,1428,8649.800884
-538.400314,1428,8661.617934
-647.760752,1428,8673.625539
-508.307,1428,8685.522249
-428.337441,1428,8697.348751
-339.322837,1428,8709.453267
-893.022159,1428,8721.396321
-368.91158,1428,8733.723623
-910.305311,1428,8745.596171
-771.490567,1428,8757.376079
-508.07178,1428,8769.707323
-594.813095,1428,8781.59369
-270.506769,1428,8793.504793
-846.335669,1428,8805.243856
-833.174699,1428,8817.177161
-339.339315,1428,8829.225575
-521.25182,1428,8841.170893
-996.553842,1428,8852.919268
-413.391452,1428,8864.726572
-554.660874,1428,8876.608012
-392.111409,1428,8888.43547
-341.161997,1428,8900.21521
-693.366948,1428,8912.059875
-429.646108,1428,8923.980407
-721.400855,1428,8935.808
-483.37382,1428,8947.787084
-835.277241,1428,8959.627413
-674.865407,1428,8971.468153
-662.25191,1428,8983.60528
-589.820302,1428,8995.554918
-1150.865312,1428,9007.683457
-487.382372,1428,9019.554578
-89.930408,1428,9031.438095
-34.03354,1428,9043.251754
-449.007709,1428,9055.137203
-663.391698,1428,9067.291623
-717.628814,1428,9079.204411
-572.901235,1428,9090.991702
-338.581129,1428,9102.789573
-1587.064455,1428,9114.683627
-710.129346,1428,9126.566041
-535.40376,1428,9138.373178
-504.412654,1428,9150.182788
-1203.316114,1428,9162.081321
-679.129269,1428,9173.839138
-947.995824,1428,9185.69182
-758.35236,1428,9198.056376
-576.439571,1428,9209.677586
-645.523454,1428,9222.076726
-488.130235,1428,9234.140892
-701.646176,1428,9245.956351
-1089.854477,1428,9257.8854
-888.959063,1428,9270.052468
-510.980637,1428,9281.843973
-458.999411,1428,9294.359679
-367.539549,1428,9306.665452
-316.53828,1428,9321.001779
-698.789238,1428,9333.405506
-572.061509,1428,9345.356477
-802.253705,1428,9357.55868
-458.239892,1428,9369.64234
-679.128732,1428,9382.112508
-448.525548,1428,9394.464403
-638.294303,1428,9406.605681
-951.006527,1428,9418.470401
-762.671819,1428,9430.234544
-882.151529,1428,9442.258996
-671.760509,1428,9454.353509
-422.303694,1428,9466.558093
-688.805319,1428,9479.039906
-813.738402,1428,9490.871579
-362.35459,1428,9502.906486
-582.149193,1428,9515.118009
-314.104168,1428,9527.776645
-226.992431,1428,9539.745384
-479.897752,1428,9551.847152
-401.734711,1428,9564.462387
-219.643485,1428,9577.800061
-212.879111,1428,9588.864968
-355.923077,1428,9600.093491
-838.131962,1428,9614.304651
-685.396638,1428,9628.043033
-655.696923,1428,9642.334973
-265.097492,1428,9654.404441
-631.553402,1428,9665.533489
-257.245594,1428,9676.985132
-454.972631,1428,9688.59862
-477.015817,1428,9700.557884
-244.216897,1428,9712.263896
-239.767511,1428,9724.373773
-401.914824,1428,9735.870141
-635.711092,1428,9746.568656
-905.297094,1428,9757.794588
-390.034907,1428,9769.602532
-767.930496,1428,9781.291107
-526.289538,1428,9792.505603
-532.30367,1428,9803.539497
-727.779492,1428,9815.670004
-508.51368,1428,9827.328817
-660.808752,1428,9839.167852
-780.073241,1428,9851.283793
-412.272485,1428,9863.556303
78.348646,1428,9877.129994
-364.167247,1428,9890.299641
-1017.929916,1428,9903.73198
-882.876671,1428,9916.990301
-845.435098,1428,9930.650527
-513.577018,1428,9944.361835
-248.639697,1428,9958.444058
-567.300834,1428,9971.639341
-321.633703,1428,9985.349337
-916.868621,1428,9998.829607
-452.29527,1428,10012.367517
-610.002559,1428,10026.037185
-525.657277,1428,10039.212935
-370.409645,1428,10053.184491
-817.360976,1428,10066.98453
-561.032771,1428,10080.691408
-837.186451,1428,10094.388016
-624.000481,1428,10108.338482
-639.235657,1428,10121.871808
-692.836851,1428,10135.635149
-346.737853,1428,10148.855609
-431.018213,1428,10162.151169
-572.016379,1428,10175.657265
-508.922672,1428,10189.601581
-575.970461,1428,10203.582375
-684.358123,1428,10216.794559
-299.29449,1428,10230.665094
-332.302724,1428,10244.084659
-506.123788,1428,10257.32655
-632.984497,1428,10270.292525
-360.099983,1428,10283.755009
-312.714932,1428,10296.737473
-489.415956,1428,10309.431302
-504.66792,1428,10322.197753
-433.320574,1428,10335.100517
-776.272743,1428,10348.120964
-314.468463,1428,10360.627124
-547.334506,1428,10373.409014
-708.498184,1428,10386.286766
-751.503521,1428,10399.07278
-543.887066,1428,10413.33023
-418.667743,1428,10427.635141
-1017.182469,1428,10440.773609
-190.35708,1428,10455.634224
-160.804946,1428,10472.855162
